checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
A,24,repaid,furniture,3149,A,B,4,single_male,none,1,unknown_none,22,bank,for_free,1,1,1,none,yes,skilled_employee
B,36,repaid,radio_tv,4210,A,C,4,single_male,none,2,other,26,none,own,1,2,1,none,yes,skilled_employee
unknown,9,repaid,car_new,2507,D,A,2,single_male,none,4,unknown_none,51,none,for_free,1,1,1,none,yes,unskilled_resident
unknown,12,repaid,radio_tv,2141,C,D,3,single_male,none,1,unknown_none,35,none,own,1,1,1,none,yes,skilled_employee
C,18,repaid,radio_tv,866,A,C,4,married_male,guarantor,2,real_estate,25,none,own,1,1,1,none,yes,unskilled_resident
unknown,4,critical,radio_tv,1544,A,D,2,single_male,none,1,real_estate,42,none,own,3,1,2,none,yes,unskilled_resident
A,24,repaid,radio_tv,1823,A,unemployed,4,single_male,none,2,other,30,stores,own,1,2,2,none,yes,mangement_self_employed
C,6,repaid,car_new,14555,unknown,unemployed,1,single_male,none,2,building_society_savings,23,none,own,1,2,1,yes,yes,unemployed_non_resident
C,21,repaid,business,2767,C,A,4,divorced_male,none,2,other,61,bank,rent,2,2,1,none,yes,unskilled_resident
unknown,12,critical,radio_tv,1291,A,C,4,female,none,2,building_society_savings,35,none,own,2,1,1,none,yes,skilled_employee
A,30,repaid,radio_tv,2522,A,A,1,single_male,guarantor,3,building_society_savings,39,none,own,1,1,2,none,yes,skilled_employee
A,24,repaid,car_new,915,unknown,A,4,female,none,2,other,29,bank,own,1,2,1,none,yes,skilled_employee
unknown,6,repaid,radio_tv,1595,A,D,3,single_male,none,2,building_society_savings,51,none,own,1,1,2,none,yes,skilled_employee
A,48,fully repaid,car_used,4605,A,A,3,single_male,none,4,unknown_none,24,none,for_free,2,2,2,none,yes,skilled_employee
unknown,12,critical,business,1185,A,C,3,female,none,2,real_estate,27,none,own,2,1,1,none,yes,skilled_employee
unknown,12,fully repaid this bank,retraining,3447,D,C,4,female,none,3,real_estate,35,none,own,1,1,2,none,yes,unskilled_resident
unknown,24,repaid,business,1258,A,D,4,single_male,none,1,real_estate,25,none,own,1,1,1,yes,yes,skilled_employee
unknown,12,critical,radio_tv,717,A,A,4,single_male,none,4,real_estate,52,none,own,3,1,1,none,yes,skilled_employee
unknown,6,fully repaid,car_new,1204,C,C,4,single_male,none,1,unknown_none,35,bank,rent,1,1,1,none,no,skilled_employee
B,24,repaid,furniture,1925,A,C,2,single_male,none,2,real_estate,26,none,own,1,1,1,none,yes,skilled_employee
unknown,18,repaid,radio_tv,433,A,unemployed,3,female,co-applicant,4,real_estate,22,none,rent,1,2,1,none,yes,skilled_employee
A,6,critical,car_new,666,B,D,3,female,none,4,real_estate,39,none,own,2,1,1,yes,yes,unskilled_resident
B,12,repaid,furniture,2251,A,C,1,female,none,2,other,46,none,own,1,1,1,none,yes,unskilled_resident
C,30,repaid,car_new,2150,A,C,4,female,guarantor,2,unknown_none,24,bank,own,1,2,1,none,yes,skilled_employee
unknown,24,delayed,furniture,4151,C,C,2,single_male,none,3,building_society_savings,35,none,own,2,1,1,none,yes,skilled_employee
C,9,repaid,furniture,2030,unknown,D,2,single_male,none,1,other,24,none,own,1,1,1,yes,yes,skilled_employee
C,60,delayed,radio_tv,7418,unknown,C,1,single_male,none,1,real_estate,27,none,own,1,1,1,none,yes,unskilled_resident
unknown,24,critical,radio_tv,2684,A,C,4,single_male,none,2,real_estate,35,none,own,2,1,1,none,yes,unskilled_resident
A,12,fully repaid this bank,radio_tv,2149,A,C,4,divorced_male,none,1,unknown_none,29,none,for_free,1,2,1,none,yes,skilled_employee
unknown,15,repaid,car_used,3812,C,B,1,female,none,4,other,23,none,own,1,1,1,yes,yes,skilled_employee
unknown,11,critical,radio_tv,1154,C,unemployed,4,female,none,4,real_estate,57,none,own,3,1,1,none,yes,unskilled_resident
A,12,repaid,furniture,1657,A,C,2,single_male,none,2,real_estate,27,none,own,1,1,1,none,yes,skilled_employee
A,24,repaid,radio_tv,1603,A,A,4,female,none,4,other,55,none,own,1,1,1,none,yes,skilled_employee
A,18,critical,car_new,5302,A,A,2,single_male,none,4,unknown_none,36,none,for_free,3,1,1,yes,yes,mangement_self_employed
unknown,12,critical,education,2748,A,A,2,female,none,4,unknown_none,57,bank,for_free,3,1,1,none,yes,unskilled_resident
unknown,10,critical,car_new,1231,A,A,3,single_male,none,4,real_estate,32,none,own,2,1,2,none,no,unskilled_resident
C,15,repaid,radio_tv,802,A,A,4,single_male,none,3,other,37,none,own,1,2,2,none,yes,skilled_employee
unknown,36,critical,business,6304,unknown,A,4,single_male,none,4,real_estate,36,none,own,2,1,1,none,yes,skilled_employee
unknown,24,repaid,radio_tv,1533,A,B,4,female,none,3,other,38,stores,own,1,1,1,yes,yes,skilled_employee
A,14,repaid,car_new,8978,A,A,1,divorced_male,none,4,building_society_savings,45,none,own,1,2,1,yes,no,mangement_self_employed
unknown,24,repaid,radio_tv,999,unknown,A,4,single_male,none,2,other,25,none,own,2,1,1,none,yes,skilled_employee
unknown,18,repaid,car_new,2662,unknown,D,4,single_male,none,3,building_society_savings,32,none,own,1,1,1,none,no,skilled_employee
unknown,12,critical,furniture,1402,D,D,3,female,none,4,other,37,none,rent,1,1,1,yes,yes,skilled_employee
C,48,fully repaid this bank,car_new,12169,unknown,unemployed,4,single_male,co-applicant,4,unknown_none,36,none,for_free,1,1,1,yes,yes,mangement_self_employed
C,48,repaid,radio_tv,3060,A,D,4,single_male,none,4,real_estate,28,none,own,2,2,1,none,yes,skilled_employee
A,30,repaid,repairs,11998,A,B,1,divorced_male,none,1,unknown_none,34,none,own,1,2,1,yes,yes,unskilled_resident
unknown,9,repaid,radio_tv,2697,A,C,1,single_male,none,2,real_estate,32,none,own,1,1,2,none,yes,skilled_employee
unknown,18,critical,radio_tv,2404,A,C,2,female,none,2,other,26,none,own,2,1,1,none,yes,skilled_employee
A,12,repaid,furniture,1262,unknown,A,2,divorced_male,none,4,building_society_savings,49,none,own,1,1,1,yes,yes,unskilled_resident
unknown,6,repaid,furniture,4611,A,B,1,female,none,4,building_society_savings,32,none,own,1,2,1,none,yes,skilled_employee
unknown,24,repaid,radio_tv,1901,C,C,4,single_male,none,4,other,29,none,rent,1,1,1,yes,yes,mangement_self_employed
unknown,15,critical,car_used,3368,B,A,3,single_male,none,4,unknown_none,23,none,rent,2,1,1,yes,yes,skilled_employee
unknown,12,repaid,furniture,1574,A,C,4,single_male,none,2,real_estate,50,none,own,1,1,1,none,yes,skilled_employee
B,18,fully repaid this bank,radio_tv,1445,unknown,D,4,single_male,none,4,other,49,bank,own,1,1,1,none,yes,unskilled_resident
unknown,15,critical,furniture,1520,unknown,A,4,single_male,none,4,building_society_savings,63,none,own,1,1,1,none,yes,skilled_employee
C,24,critical,car_new,3878,C,B,4,divorced_male,none,2,other,37,none,own,1,1,1,yes,yes,skilled_employee
A,47,repaid,car_new,10722,A,B,1,female,none,1,real_estate,35,none,own,1,1,1,yes,yes,unskilled_resident
A,48,repaid,car_used,4788,A,D,4,single_male,none,3,building_society_savings,26,none,own,1,1,2,none,yes,skilled_employee
C,48,delayed,others,7582,C,unemployed,2,single_male,none,4,unknown_none,31,none,for_free,1,1,1,yes,yes,mangement_self_employed
C,12,repaid,radio_tv,1092,A,C,4,female,guarantor,4,real_estate,49,none,own,2,1,1,yes,yes,skilled_employee
A,24,delayed,radio_tv,1024,A,B,4,married_male,none,4,real_estate,48,stores,own,1,2,1,none,yes,skilled_employee
unknown,12,repaid,business,1076,A,C,2,married_male,none,2,real_estate,26,none,own,1,1,1,yes,no,skilled_employee
C,36,repaid,car_used,9398,A,B,1,married_male,none,4,other,28,none,rent,1,2,1,yes,yes,mangement_self_employed
A,24,critical,car_used,6419,A,A,2,female,none,4,unknown_none,44,none,for_free,2,1,2,yes,yes,mangement_self_employed
B,42,critical,car_used,4796,A,A,4,single_male,none,4,unknown_none,56,none,for_free,1,1,1,none,yes,skilled_employee
unknown,48,critical,business,7629,unknown,A,4,divorced_male,none,2,other,46,bank,own,2,1,2,none,yes,mangement_self_employed
C,48,repaid,furniture,9960,A,B,1,female,none,2,other,26,none,own,1,2,1,yes,yes,skilled_employee
unknown,12,repaid,car_used,4675,unknown,B,1,female,none,4,other,20,none,rent,1,1,1,none,yes,skilled_employee
unknown,10,repaid,car_new,1287,unknown,A,4,single_male,co-applicant,2,building_society_savings,45,none,own,1,1,1,none,no,unskilled_resident
unknown,18,repaid,furniture,2515,A,C,3,single_male,none,4,real_estate,43,none,own,1,1,1,yes,yes,skilled_employee
C,21,critical,furniture,2745,B,D,3,single_male,none,2,other,32,none,own,2,1,1,yes,yes,skilled_employee
unknown,6,repaid,car_new,672,A,unemployed,1,female,none,4,real_estate,54,none,own,1,1,1,yes,yes,unemployed_non_resident
C,36,fully repaid,radio_tv,3804,A,C,4,female,none,1,other,42,none,own,1,2,1,yes,yes,skilled_employee
B,24,critical,car_new,1344,unknown,D,4,single_male,none,2,real_estate,37,bank,own,2,2,2,none,yes,unskilled_resident
A,10,critical,car_new,1038,A,D,4,single_male,co-applicant,3,building_society_savings,49,none,own,2,1,1,yes,yes,skilled_employee
unknown,48,critical,car_new,10127,D,C,2,single_male,none,2,unknown_none,44,bank,for_free,1,2,1,none,yes,skilled_employee
unknown,6,repaid,furniture,1543,B,C,4,divorced_male,none,2,real_estate,33,none,own,1,1,1,none,yes,skilled_employee
unknown,30,repaid,car_used,4811,unknown,D,2,female,none,4,building_society_savings,24,stores,rent,1,1,1,none,yes,unskilled_resident
A,12,repaid,radio_tv,727,C,B,4,married_male,none,3,unknown_none,33,none,own,1,2,1,yes,yes,unskilled_resident
C,8,repaid,furniture,1237,A,C,3,female,none,4,real_estate,24,none,own,1,2,1,none,yes,skilled_employee
C,9,repaid,car_new,276,A,C,4,married_male,none,4,real_estate,22,none,rent,1,1,1,none,yes,unskilled_resident
C,48,repaid,others,5381,unknown,unemployed,3,single_male,none,4,unknown_none,40,bank,for_free,1,1,1,yes,yes,unemployed_non_resident
unknown,24,repaid,furniture,5511,C,C,4,single_male,none,1,other,25,stores,own,1,1,1,none,yes,skilled_employee
B,24,repaid,furniture,3749,A,B,2,female,none,4,other,26,none,own,1,1,1,none,yes,skilled_employee
C,12,repaid,car_new,685,A,D,2,married_male,none,3,other,25,bank,own,1,2,1,none,yes,unskilled_resident
B,4,repaid,car_new,1494,unknown,B,1,single_male,none,2,real_estate,29,none,own,1,1,2,none,no,unskilled_resident
A,36,fully repaid this bank,furniture,2746,A,A,4,single_male,none,4,other,31,bank,own,1,2,1,none,yes,skilled_employee
A,12,repaid,furniture,708,A,C,2,single_male,guarantor,3,building_society_savings,38,none,own,1,1,2,none,yes,unskilled_resident
C,24,repaid,furniture,4351,unknown,C,1,female,none,4,building_society_savings,48,none,own,1,1,1,yes,yes,unskilled_resident
unknown,12,critical,education,701,A,C,4,single_male,none,2,other,32,none,own,2,1,1,none,yes,skilled_employee
A,15,delayed,furniture,3643,A,A,1,female,none,4,building_society_savings,27,none,own,2,1,1,none,yes,unskilled_resident
C,30,critical,car_new,4249,A,unemployed,4,married_male,none,2,other,28,none,own,2,2,1,none,yes,mangement_self_employed
A,24,repaid,radio_tv,1938,A,B,4,divorced_male,none,3,building_society_savings,32,none,own,1,2,1,none,yes,skilled_employee
A,24,repaid,car_used,2910,A,D,2,single_male,none,1,unknown_none,34,none,for_free,1,1,1,yes,yes,mangement_self_employed
A,18,repaid,furniture,2659,B,C,4,single_male,none,2,other,28,none,own,1,1,1,none,yes,skilled_employee
unknown,18,critical,car_new,1028,A,C,4,female,none,3,real_estate,36,none,own,2,1,1,none,yes,skilled_employee
A,8,critical,car_new,3398,A,D,1,single_male,none,4,real_estate,39,none,own,2,1,1,none,no,unskilled_resident
unknown,12,critical,furniture,5801,unknown,A,2,single_male,none,4,building_society_savings,49,none,rent,1,1,1,yes,yes,skilled_employee
unknown,24,repaid,car_new,1525,B,D,4,female,none,3,other,34,none,own,1,1,2,yes,yes,skilled_employee
B,36,repaid,radio_tv,4473,A,A,4,single_male,none,2,other,31,none,own,1,1,1,none,yes,skilled_employee
C,6,repaid,radio_tv,1068,A,A,4,single_male,none,4,other,28,none,own,1,1,2,none,yes,skilled_employee
A,24,critical,car_used,6615,A,unemployed,2,single_male,none,4,unknown_none,75,none,for_free,2,1,1,yes,yes,mangement_self_employed
unknown,18,critical,education,1864,C,C,4,female,none,2,real_estate,30,none,own,2,2,1,none,yes,skilled_employee
C,60,repaid,car_new,7408,C,B,4,female,none,2,building_society_savings,24,none,own,1,2,1,none,yes,mangement_self_employed
unknown,48,critical,car_used,11590,C,C,2,female,none,4,other,24,bank,rent,2,2,1,none,yes,unskilled_resident
A,24,fully repaid,furniture,4110,A,A,3,single_male,none,4,unknown_none,23,bank,rent,2,2,2,none,yes,skilled_employee
A,6,critical,furniture,3384,A,C,1,divorced_male,none,4,real_estate,44,none,rent,1,2,1,yes,yes,mangement_self_employed
C,13,repaid,radio_tv,2101,A,B,2,female,guarantor,4,building_society_savings,23,none,own,1,1,1,none,yes,unskilled_resident
A,15,repaid,domestic appliances,1275,unknown,C,4,female,none,2,other,24,none,rent,1,2,1,none,yes,skilled_employee
A,24,repaid,furniture,4169,A,C,4,single_male,none,4,building_society_savings,28,none,own,1,1,1,none,yes,skilled_employee
C,10,repaid,furniture,1521,A,C,4,divorced_male,none,2,other,31,none,own,1,1,1,none,yes,unskilled_resident
C,24,critical,education,5743,A,B,2,female,none,4,unknown_none,24,none,for_free,2,1,1,yes,yes,skilled_employee
A,21,repaid,furniture,3599,A,D,1,female,none,4,other,26,none,rent,1,1,1,none,yes,unskilled_resident
C,18,repaid,radio_tv,3213,D,B,1,married_male,none,3,real_estate,25,none,rent,1,1,1,none,yes,skilled_employee
C,18,repaid,business,4439,A,A,1,single_male,co-applicant,1,real_estate,33,bank,own,1,1,1,yes,yes,mangement_self_employed
B,10,repaid,car_new,3949,A,B,1,single_male,guarantor,1,building_society_savings,37,none,own,1,1,2,none,yes,unskilled_resident
unknown,15,critical,radio_tv,1459,A,C,4,female,none,2,other,43,none,own,1,1,1,none,yes,unskilled_resident
C,13,critical,radio_tv,882,A,B,4,single_male,guarantor,4,real_estate,23,none,own,2,1,1,none,yes,skilled_employee
C,24,repaid,radio_tv,3758,D,unemployed,1,female,none,4,unknown_none,23,none,rent,1,1,1,none,yes,unemployed_non_resident
unknown,6,delayed,business,1743,C,C,1,single_male,none,2,real_estate,34,none,own,2,1,1,none,yes,unskilled_resident
C,9,critical,education,1136,B,A,4,single_male,none,3,unknown_none,32,none,for_free,2,2,2,none,yes,skilled_employee
unknown,9,repaid,domestic appliances,1236,A,B,1,female,none,4,real_estate,23,none,rent,1,1,1,yes,yes,skilled_employee
C,9,repaid,furniture,959,A,C,1,female,none,2,other,29,none,own,1,2,1,none,no,skilled_employee
unknown,18,critical,car_used,3229,unknown,unemployed,2,single_male,none,4,unknown_none,38,none,own,1,1,1,yes,yes,mangement_self_employed
A,12,fully repaid,radio_tv,6199,A,C,4,single_male,none,2,building_society_savings,28,none,rent,2,2,1,yes,yes,skilled_employee
unknown,10,repaid,education,727,D,A,4,single_male,none,4,unknown_none,46,none,for_free,1,1,1,yes,yes,skilled_employee
C,24,repaid,car_new,1246,A,B,4,single_male,none,2,real_estate,23,stores,own,1,2,1,none,yes,unskilled_resident
unknown,12,critical,radio_tv,2331,unknown,A,1,single_male,co-applicant,4,real_estate,49,none,own,1,1,1,yes,yes,skilled_employee
unknown,36,delayed,radio_tv,4463,A,C,4,single_male,none,2,other,26,none,own,2,2,1,yes,yes,mangement_self_employed
unknown,12,repaid,radio_tv,776,A,C,4,married_male,none,2,real_estate,28,none,own,1,1,1,none,yes,skilled_employee
A,30,repaid,furniture,2406,A,D,4,female,none,4,real_estate,23,none,rent,1,2,1,none,yes,skilled_employee
C,18,repaid,education,1239,unknown,C,4,single_male,none,4,unknown_none,61,none,for_free,1,1,1,none,yes,skilled_employee
B,12,repaid,radio_tv,3399,unknown,A,2,single_male,none,3,other,37,none,own,1,1,1,none,yes,mangement_self_employed
B,12,delayed,car_new,2247,A,C,2,female,none,2,other,36,stores,own,2,1,1,yes,yes,skilled_employee
unknown,6,repaid,furniture,1766,A,C,1,married_male,none,2,building_society_savings,21,none,rent,1,1,1,none,yes,skilled_employee
A,18,repaid,furniture,2473,A,unemployed,4,single_male,none,1,other,25,none,own,1,2,1,none,yes,unemployed_non_resident
unknown,12,repaid,business,1542,A,D,2,single_male,none,4,other,36,none,own,1,1,1,yes,yes,skilled_employee
unknown,18,critical,car_used,3850,A,D,3,single_male,none,1,other,27,none,own,2,1,1,none,yes,skilled_employee
A,18,repaid,furniture,3650,A,B,1,female,none,4,other,22,none,rent,1,1,1,none,yes,skilled_employee
A,36,repaid,furniture,3446,A,A,4,single_male,none,2,other,42,none,own,1,2,2,none,yes,skilled_employee
C,18,repaid,furniture,3001,A,D,2,female,none,4,real_estate,40,none,rent,1,1,1,none,yes,skilled_employee
unknown,36,repaid,car_new,3079,unknown,C,4,single_male,none,4,real_estate,36,none,own,1,1,1,none,yes,skilled_employee
unknown,18,critical,radio_tv,6070,A,A,3,single_male,none,4,other,33,none,own,2,1,1,yes,yes,skilled_employee
unknown,10,critical,furniture,2146,A,B,1,female,none,3,real_estate,23,none,rent,2,1,1,none,yes,skilled_employee
unknown,60,critical,car_new,13756,unknown,A,2,single_male,none,4,unknown_none,63,bank,for_free,1,1,1,yes,yes,mangement_self_employed
C,60,fully repaid this bank,others,14782,C,A,3,female,none,4,unknown_none,60,bank,for_free,2,2,1,yes,yes,mangement_self_employed
A,48,fully repaid this bank,business,7685,A,D,2,female,guarantor,4,other,37,none,rent,1,2,1,none,yes,skilled_employee
unknown,18,delayed,radio_tv,2320,A,unemployed,2,married_male,none,3,real_estate,34,none,own,2,1,1,none,yes,skilled_employee
unknown,7,delayed,radio_tv,846,unknown,A,3,single_male,none,4,unknown_none,36,none,for_free,1,1,1,none,yes,skilled_employee
C,36,repaid,car_new,14318,A,A,4,single_male,none,2,unknown_none,57,none,for_free,1,2,1,yes,yes,mangement_self_employed
unknown,6,critical,car_new,362,C,C,4,female,none,4,other,52,none,own,2,1,1,none,yes,unskilled_resident
A,20,repaid,furniture,2212,unknown,D,4,single_male,none,4,other,39,none,own,1,1,1,yes,yes,skilled_employee
C,18,repaid,car_used,12976,A,unemployed,3,female,none,4,unknown_none,38,none,for_free,1,2,1,yes,yes,mangement_self_employed
unknown,22,repaid,car_new,1283,unknown,D,4,female,none,4,building_society_savings,25,none,rent,1,1,1,none,yes,skilled_employee
B,12,repaid,car_new,1330,A,B,4,single_male,none,1,real_estate,26,none,own,1,1,1,none,yes,skilled_employee
unknown,30,delayed,business,4272,C,C,2,single_male,none,2,building_society_savings,26,none,own,2,1,1,none,yes,unskilled_resident
unknown,18,critical,radio_tv,2238,A,C,2,female,none,1,other,25,none,own,2,1,1,none,yes,skilled_employee
unknown,18,repaid,radio_tv,1126,unknown,B,4,female,none,2,real_estate,21,none,rent,1,1,1,yes,yes,skilled_employee
C,18,critical,furniture,7374,A,unemployed,4,single_male,none,4,building_society_savings,40,stores,own,2,1,1,yes,yes,mangement_self_employed
C,15,critical,business,2326,D,C,2,single_male,none,4,other,27,bank,own,1,1,1,none,yes,skilled_employee
unknown,9,repaid,business,1449,A,D,3,female,none,2,other,27,none,own,2,1,1,none,yes,skilled_employee
unknown,18,repaid,car_new,1820,A,C,2,married_male,none,2,building_society_savings,30,none,own,1,1,1,yes,yes,mangement_self_employed
C,12,repaid,furniture,983,B,B,1,female,none,4,real_estate,19,none,rent,1,1,1,none,yes,unskilled_resident
A,36,repaid,car_new,3249,A,D,2,single_male,none,4,unknown_none,39,bank,for_free,1,1,2,yes,yes,mangement_self_employed
A,6,critical,radio_tv,1957,A,D,1,female,none,4,other,31,none,own,1,1,1,none,yes,skilled_employee
unknown,9,critical,furniture,2406,A,unemployed,2,single_male,none,3,other,31,none,own,1,1,1,none,yes,mangement_self_employed
C,39,delayed,education,11760,C,D,2,single_male,none,3,unknown_none,32,none,rent,1,1,1,yes,yes,skilled_employee
A,12,repaid,furniture,2578,A,unemployed,3,female,none,4,unknown_none,55,none,for_free,1,1,1,none,yes,mangement_self_employed
A,36,critical,furniture,2348,A,C,3,married_male,none,2,building_society_savings,46,none,own,2,1,1,yes,yes,skilled_employee
C,12,repaid,car_new,1223,A,A,1,divorced_male,none,1,real_estate,46,none,rent,2,2,1,none,yes,skilled_employee
unknown,24,critical,radio_tv,1516,B,C,4,female,none,1,real_estate,43,none,own,2,1,1,none,yes,unskilled_resident
unknown,18,repaid,radio_tv,1473,A,B,3,married_male,none,4,real_estate,39,none,own,1,1,1,yes,yes,skilled_employee
C,18,critical,business,1887,unknown,C,4,married_male,none,4,real_estate,28,bank,own,2,1,1,none,yes,skilled_employee
unknown,24,delayed,business,8648,A,B,2,single_male,none,2,other,27,bank,own,2,2,1,yes,yes,skilled_employee
unknown,14,delayed,car_new,802,A,C,4,single_male,none,2,other,27,none,own,2,1,1,none,yes,unskilled_resident
C,18,delayed,car_new,2899,unknown,A,4,single_male,none,4,other,43,none,own,1,1,2,none,yes,skilled_employee
C,24,repaid,radio_tv,2039,A,B,1,married_male,none,1,building_society_savings,22,none,own,1,2,1,yes,yes,skilled_employee
unknown,24,critical,car_used,2197,unknown,D,4,single_male,none,4,other,43,none,own,2,1,2,yes,yes,skilled_employee
A,15,repaid,radio_tv,1053,A,B,4,married_male,none,2,real_estate,27,none,own,1,1,1,none,no,skilled_employee
unknown,24,repaid,radio_tv,3235,D,A,3,divorced_male,none,2,other,26,none,own,1,1,1,yes,yes,mangement_self_employed
B,12,critical,car_new,939,D,D,4,married_male,none,2,real_estate,28,none,own,3,2,1,yes,yes,skilled_employee
C,24,repaid,radio_tv,1967,A,A,4,female,none,4,other,20,none,own,1,1,1,yes,yes,skilled_employee
unknown,33,critical,car_used,7253,A,D,3,single_male,none,2,other,35,none,own,2,1,1,yes,yes,mangement_self_employed
unknown,12,critical,business,2292,A,unemployed,4,single_male,none,2,other,42,stores,own,2,2,1,yes,yes,mangement_self_employed
unknown,10,repaid,car_new,1597,D,C,3,single_male,none,2,unknown_none,40,none,rent,1,1,2,none,no,unskilled_resident
A,24,repaid,car_new,1381,unknown,C,4,female,none,2,building_society_savings,35,none,own,1,2,1,none,yes,skilled_employee
unknown,36,critical,car_used,5842,A,A,2,single_male,none,2,building_society_savings,35,none,own,2,1,2,yes,yes,skilled_employee
A,12,repaid,car_new,2579,A,B,4,single_male,none,1,real_estate,33,none,own,1,2,2,none,yes,unskilled_resident
A,18,delayed,education,8471,unknown,C,1,female,none,2,other,23,none,rent,2,1,1,yes,yes,skilled_employee
unknown,21,repaid,car_new,2782,D,D,1,female,none,2,other,31,bank,own,1,1,1,none,yes,mangement_self_employed
C,18,repaid,car_new,1042,unknown,C,4,female,none,2,building_society_savings,33,none,own,1,2,1,none,yes,skilled_employee
unknown,15,repaid,car_new,3186,B,D,2,female,none,3,other,20,none,rent,1,1,1,none,yes,skilled_employee
C,12,repaid,car_used,2028,unknown,C,4,single_male,none,2,other,30,none,own,1,1,1,none,yes,skilled_employee
C,12,critical,car_new,958,A,D,2,single_male,none,3,real_estate,47,none,own,2,1,2,none,yes,unskilled_resident
unknown,21,delayed,furniture,1591,C,D,4,single_male,none,3,real_estate,34,none,own,2,1,1,none,yes,mangement_self_employed
C,12,repaid,furniture,2762,unknown,A,1,female,none,2,building_society_savings,25,bank,own,1,2,1,yes,yes,skilled_employee
C,18,repaid,car_used,2779,A,C,1,married_male,none,3,other,21,none,rent,1,1,1,yes,yes,skilled_employee
unknown,28,critical,radio_tv,2743,A,A,4,single_male,none,2,other,29,none,own,2,1,1,none,yes,skilled_employee
unknown,18,critical,radio_tv,1149,B,C,4,single_male,none,3,real_estate,46,none,own,2,1,1,none,yes,skilled_employee
unknown,9,repaid,furniture,1313,A,A,1,single_male,none,4,other,20,none,own,1,1,1,none,yes,skilled_employee
A,18,critical,repairs,1190,A,unemployed,2,female,none,4,unknown_none,55,none,for_free,3,2,2,none,yes,unemployed_non_resident
unknown,5,repaid,business,3448,A,D,1,single_male,none,4,real_estate,74,none,own,1,1,1,none,yes,unskilled_resident
C,24,repaid,others,11328,A,C,2,single_male,co-applicant,3,other,29,bank,own,2,2,1,yes,yes,mangement_self_employed
A,6,critical,furniture,1872,A,unemployed,4,single_male,none,4,unknown_none,36,none,for_free,3,1,1,yes,yes,mangement_self_employed
unknown,24,critical,repairs,2058,A,C,4,divorced_male,none,2,real_estate,33,none,own,2,1,1,yes,yes,skilled_employee
A,9,repaid,furniture,2136,A,C,3,single_male,none,2,real_estate,25,none,own,1,1,1,none,yes,skilled_employee
C,12,repaid,radio_tv,1484,unknown,C,2,married_male,none,1,real_estate,25,none,own,1,2,1,yes,yes,skilled_employee
unknown,6,repaid,repairs,660,D,D,2,married_male,none,4,real_estate,23,none,rent,1,1,1,none,yes,unskilled_resident
unknown,24,critical,car_new,1287,B,A,4,female,none,4,real_estate,37,none,own,2,1,1,yes,yes,skilled_employee
A,42,critical,repairs,3394,A,unemployed,4,single_male,co-applicant,4,other,65,none,own,2,1,1,none,yes,unemployed_non_resident
B,12,fully repaid this bank,business,609,A,B,4,female,none,1,real_estate,26,none,own,1,2,1,none,yes,unemployed_non_resident
unknown,12,repaid,car_new,1884,A,A,4,single_male,none,4,other,39,none,own,1,1,1,yes,yes,mangement_self_employed
A,12,repaid,furniture,1620,A,C,2,female,co-applicant,3,building_society_savings,30,none,own,1,1,1,none,yes,skilled_employee
C,20,delayed,others,2629,A,C,2,single_male,none,3,other,29,bank,own,2,1,1,yes,yes,skilled_employee
unknown,12,repaid,education,719,A,A,4,single_male,none,4,other,41,bank,own,1,2,2,none,yes,unskilled_resident
C,48,critical,furniture,5096,A,C,2,female,none,3,other,30,none,own,1,2,1,yes,yes,mangement_self_employed
unknown,9,critical,education,1244,unknown,A,4,female,none,4,building_society_savings,41,none,rent,2,1,1,none,yes,unskilled_resident
A,36,repaid,car_new,1842,A,B,4,female,none,4,other,34,none,own,1,2,1,yes,yes,skilled_employee
C,7,repaid,radio_tv,2576,A,C,2,single_male,guarantor,2,real_estate,35,none,own,1,1,1,none,yes,skilled_employee
B,12,repaid,furniture,1424,unknown,A,3,female,none,4,real_estate,55,none,own,1,1,1,yes,yes,mangement_self_employed
C,15,delayed,repairs,1512,B,C,3,married_male,none,3,building_society_savings,61,stores,own,2,2,1,none,yes,skilled_employee
unknown,36,critical,car_used,11054,unknown,C,4,single_male,none,2,other,30,none,own,1,1,1,yes,yes,mangement_self_employed
unknown,6,repaid,radio_tv,518,A,C,3,female,none,1,real_estate,29,none,own,1,1,1,none,yes,skilled_employee
unknown,12,fully repaid,furniture,2759,A,A,2,single_male,none,4,building_society_savings,34,none,own,2,1,1,none,yes,skilled_employee
unknown,24,repaid,car_used,2670,A,A,4,single_male,none,4,other,35,none,own,1,1,1,yes,yes,mangement_self_employed
A,24,repaid,car_new,4817,A,D,2,single_male,co-applicant,3,building_society_savings,31,none,own,1,2,1,yes,yes,skilled_employee
unknown,24,repaid,car_used,2679,A,B,4,female,none,1,unknown_none,29,none,own,1,1,1,yes,yes,mangement_self_employed
A,11,critical,car_new,3905,A,C,2,single_male,none,2,real_estate,36,none,rent,2,1,2,none,yes,skilled_employee
A,12,repaid,car_used,3386,A,A,3,single_male,none,4,unknown_none,35,none,for_free,1,2,1,yes,yes,skilled_employee
A,6,repaid,domestic appliances,343,A,B,4,female,none,1,real_estate,27,none,own,1,1,1,none,yes,skilled_employee
